код стратегии,Название стратерии,Текст цикла ПредупрТОРО,КраткНазвЦикла,Сцепка,Цикл,Единица,код стратегии_счетчик
2-0596,МТЧ ТО240-Т12160-Т24320-КР8640,Капитальный ремонт,КР,2-0596КР,"8640,00",МТЧ,2-0596КР
2-0597,МТЧ 360-720-4320-8640-КР34560,Техническое обслуживание 1,О1,2-0597О1,"360,00",МТЧ,2-0597О1
2-0597,МТЧ 360-720-4320-8640-КР34560,Техническое обслуживание 2,О2,2-0597О2,"720,00",МТЧ,2-0597О2
2-0597,МТЧ 360-720-4320-8640-КР34560,Текущий ремонт 1,Т1,2-0597Т1,"4320,00",МТЧ,2-0597Т1
2-0597,МТЧ 360-720-4320-8640-КР34560,Текущий ремонт 2,Т2,2-0597Т2,"8640,00",МТЧ,2-0597Т2
2-0597,МТЧ 360-720-4320-8640-КР34560,Капитальный ремонт,КР,2-0597КР,"34560,00",МТЧ,2-0597КР
2-0598,МТЧ ВЗ2000,Замена вращателя,ВЗ,2-0598ВЗ,"2000,00",МТЧ,2-0598ВЗ
2-0599,МТЧ 50-100-150-200-600-800*10,Техническое обслуживание 1,О1,2-0599О1,"500,00",МТЧ,2-0599О1
2-0599,МТЧ 50-100-150-200-600-800*10,Техническое обслуживание 2,О2,2-0599О2,"1000,00",МТЧ,2-0599О2
2-0599,МТЧ 50-100-150-200-600-800*10,Техническое обслуживание 3,О3,2-0599О3,"1500,00",МТЧ,2-0599О3
2-0599,МТЧ 50-100-150-200-600-800*10,Техническое обслуживание 4,О4,2-0599О4,"2000,00",МТЧ,2-0599О4
2-0599,МТЧ 50-100-150-200-600-800*10,Техническое обслуживание 5,О5,2-0599О5,"6000,00",МТЧ,2-0599О5
2-0599,МТЧ 50-100-150-200-600-800*10,Техническое обслуживание 6,О6,2-0599О6,"8000,00",МТЧ,2-0599О6
2-0600,МТЧ О1125-О2500-О32000,Техническое обслуживание 1,О1,2-0600О1,"125,00",МТЧ,2-0600О1
2-0600,МТЧ О1125-О2500-О32000,Техническое обслуживание 2,О2,2-0600О2,"500,00",МТЧ,2-0600О2
2-0600,МТЧ О1125-О2500-О32000,Техническое обслуживание 3,О3,2-0600О3,"2000,00",МТЧ,2-0600О3
2-0601,МТЧ 25-50-100-150-200-500*10,Техническое обслуживание 1,О1,2-0601О1,"250,00",МТЧ,2-0601О1
2-0601,МТЧ 25-50-100-150-200-500*10,Техническое обслуживание 2,О2,2-0601О2,"500,00",МТЧ,2-0601О2
2-0601,МТЧ 25-50-100-150-200-500*10,Техническое обслуживание 3,О3,2-0601О3,"1000,00",МТЧ,2-0601О3
2-0601,МТЧ 25-50-100-150-200-500*10,Техническое обслуживание 4,О4,2-0601О4,"1500,00",МТЧ,2-0601О4
2-0601,МТЧ 25-50-100-150-200-500*10,Техническое обслуживание 5,О5,2-0601О5,"2000,00",МТЧ,2-0601О5
2-0601,МТЧ 25-50-100-150-200-500*10,Техническое обслуживание 6,О6,2-0601О6,"5000,00",МТЧ,2-0601О6
2-0602,МТЧ 2418000,КР коробки передач,24,2-060224,"18000,00",МТЧ,2-060224
2-0603,МТЧ 4000-8000-24000-40000,Техническое обслуживание,ТО,2-0603ТО,"4000,00",МТЧ,2-0603ТО
2-0603,МТЧ 4000-8000-24000-40000,Текущий ремонт 1,Т1,2-0603Т1,"8000,00",МТЧ,2-0603Т1
2-0603,МТЧ 4000-8000-24000-40000,Капитальный ремонт,КР,2-0603КР,"24000,00",МТЧ,2-0603КР
2-0603,МТЧ 4000-8000-24000-40000,Текущий ремонт 2,Т2,2-0603Т2,"40000,00",МТЧ,2-0603Т2
2-0604,МТЧ Н80(8),Начальное ТО на 8,Н8,2-0604Н8,"0,00",МТЧ,2-0604Н8
2-0605,МТЧ 1020000-ЗД20000,КР двигателя,10,2-060510,"20000,00",МТЧ,2-060510
2-0605,МТЧ 1020000-ЗД20000,Замена двигателя,ЗД,2-0605ЗД,"20000,00",МТЧ,2-0605ЗД
2-0606,МТЧ 2420000-ЗК20000,КР коробки передач,24,2-060624,"20000,00",МТЧ,2-060624
2-0606,МТЧ 2420000-ЗК20000,Замена коробки передач,ЗК,2-0606ЗК,"20000,00",МТЧ,2-0606ЗК
2-0607,МТЧ 2.5-5-10-15-20-40-60*100,Техническое обслуживание 1,О1,2-0607О1,"250,00",МТЧ,2-0607О1
2-0607,МТЧ 2.5-5-10-15-20-40-60*100,Техническое обслуживание 2,О2,2-0607О2,"500,00",МТЧ,2-0607О2
2-0607,МТЧ 2.5-5-10-15-20-40-60*100,Техническое обслуживание 3,О3,2-0607О3,"1000,00",МТЧ,2-0607О3
2-0607,МТЧ 2.5-5-10-15-20-40-60*100,Техническое обслуживание 4,О4,2-0607О4,"1500,00",МТЧ,2-0607О4
2-0607,МТЧ 2.5-5-10-15-20-40-60*100,Техническое обслуживание 5,О5,2-0607О5,"2000,00",МТЧ,2-0607О5
2-0607,МТЧ 2.5-5-10-15-20-40-60*100,Техническое обслуживание 6,О6,2-0607О6,"4000,00",МТЧ,2-0607О6
2-0607,МТЧ 2.5-5-10-15-20-40-60*100,Техническое обслуживание 7,О7,2-0607О7,"6000,00",МТЧ,2-0607О7
2-0608,МТЧ 1012000-ЗД12000,КР двигателя,10,2-060810,"12000,00",МТЧ,2-060810
2-0608,МТЧ 1012000-ЗД12000,Замена двигателя,ЗД,2-0608ЗД,"12000,00",МТЧ,2-0608ЗД
2-0609,МТЧ 0616000-ГЗ16000,КР главной передачи,06,2-060906,"16000,00",МТЧ,2-060906
2-0609,МТЧ 0616000-ГЗ16000,Замена главной передачи,ГЗ,2-0609ГЗ,"16000,00",МТЧ,2-0609ГЗ
2-0610,МТЧ 2424000-ЗК24000,КР коробки передач,24,2-061024,"24000,00",МТЧ,2-061024
2-0610,МТЧ 2424000-ЗК24000,Замена коробки передач,ЗК,2-0610ЗК,"24000,00",МТЧ,2-0610ЗК
2-0611,МТЧ 2.5-5-10-20-30-60*100,Техническое обслуживание 1,О1,2-0611О1,"250,00",МТЧ,2-0611О1
2-0611,МТЧ 2.5-5-10-20-30-60*100,Техническое обслуживание 2,О2,2-0611О2,"500,00",МТЧ,2-0611О2
2-0611,МТЧ 2.5-5-10-20-30-60*100,Техническое обслуживание 3,О3,2-0611О3,"1000,00",МТЧ,2-0611О3
2-0611,МТЧ 2.5-5-10-20-30-60*100,Техническое обслуживание 4,О4,2-0611О4,"2000,00",МТЧ,2-0611О4
2-0611,МТЧ 2.5-5-10-20-30-60*100,Текущий ремонт 1,Т1,2-0611Т1,"3000,00",МТЧ,2-0611Т1
2-0611,МТЧ 2.5-5-10-20-30-60*100,Текущий ремонт 2,Т2,2-0611Т2,"6000,00",МТЧ,2-0611Т2
2-0612,МТЧ 4-25-50-100-200-300-600*10,Техническое обслуживание 1,О1,2-0612О1,"40,00",МТЧ,2-0612О1
2-0612,МТЧ 4-25-50-100-200-300-600*10,Техническое обслуживание 2,О2,2-0612О2,"250,00",МТЧ,2-0612О2
2-0612,МТЧ 4-25-50-100-200-300-600*10,Техническое обслуживание 3,О3,2-0612О3,"500,00",МТЧ,2-0612О3
2-0612,МТЧ 4-25-50-100-200-300-600*10,Техническое обслуживание 4,О4,2-0612О4,"1000,00",МТЧ,2-0612О4
2-0612,МТЧ 4-25-50-100-200-300-600*10,Техническое обслуживание 5,О5,2-0612О5,"2000,00",МТЧ,2-0612О5
2-0612,МТЧ 4-25-50-100-200-300-600*10,Текущий ремонт 1,Т1,2-0612Т1,"3000,00",МТЧ,2-0612Т1
2-0612,МТЧ 4-25-50-100-200-300-600*10,Текущий ремонт 2,Т2,2-0612Т2,"6000,00",МТЧ,2-0612Т2
2-0613,МТЧ О1500-1000-2000-4000-5000,Техническое обслуживание 1,О1,2-0613О1,"500,00",МТЧ,2-0613О1
2-0613,МТЧ О1500-1000-2000-4000-5000,Техническое обслуживание 2,О2,2-0613О2,"1000,00",МТЧ,2-0613О2
2-0613,МТЧ О1500-1000-2000-4000-5000,Техническое обслуживание 3,О3,2-0613О3,"2000,00",МТЧ,2-0613О3
2-0613,МТЧ О1500-1000-2000-4000-5000,Техническое обслуживание 4,О4,2-0613О4,"4000,00",МТЧ,2-0613О4
2-0613,МТЧ О1500-1000-2000-4000-5000,Техническое обслуживание 5,О5,2-0613О5,"5000,00",МТЧ,2-0613О5
2-0614,МТЧ О12000-4000-8000-КР16000,Техническое обслуживание 1,О1,2-0614О1,"2000,00",МТЧ,2-0614О1
2-0614,МТЧ О12000-4000-8000-КР16000,Техническое обслуживание 2,О2,2-0614О2,"4000,00",МТЧ,2-0614О2
2-0614,МТЧ О12000-4000-8000-КР16000,Техническое обслуживание 3,О3,2-0614О3,"8000,00",МТЧ,2-0614О3
2-0614,МТЧ О12000-4000-8000-КР16000,Капитальный ремонт,КР,2-0614КР,"16000,00",МТЧ,2-0614КР
2-0615,МТЧ 2.5-5-10-20-30-60-120*100,Техническое обслуживание 1,О1,2-0615О1,"250,00",МТЧ,2-0615О1
2-0615,МТЧ 2.5-5-10-20-30-60-120*100,Техническое обслуживание 2,О2,2-0615О2,"500,00",МТЧ,2-0615О2
2-0615,МТЧ 2.5-5-10-20-30-60-120*100,Техническое обслуживание 3,О3,2-0615О3,"1000,00",МТЧ,2-0615О3
2-0615,МТЧ 2.5-5-10-20-30-60-120*100,Техническое обслуживание 4,О4,2-0615О4,"2000,00",МТЧ,2-0615О4
2-0615,МТЧ 2.5-5-10-20-30-60-120*100,Техническое обслуживание 5,О5,2-0615О5,"3000,00",МТЧ,2-0615О5
2-0615,МТЧ 2.5-5-10-20-30-60-120*100,Техническое обслуживание 6,О6,2-0615О6,"6000,00",МТЧ,2-0615О6
2-0615,МТЧ 2.5-5-10-20-30-60-120*100,Техническое обслуживание 7,О7,2-0615О7,"12000,00",МТЧ,2-0615О7
2-0616,МТЧ Т1750-Т26000,Текущий ремонт 1,Т1,2-0616Т1,"750,00",МТЧ,2-0616Т1
2-0616,МТЧ Т1750-Т26000,Текущий ремонт 2,Т2,2-0616Т2,"6000,00",МТЧ,2-0616Т2
2-0617,МТЧ ВЗ4000,Замена вращателя,ВЗ,2-0617ВЗ,"4000,00",МТЧ,2-0617ВЗ
2-0618,МТЧ ТВ6000-ВЗ10000,ТР вращателя,ТВ,2-0618ТВ,"6000,00",МТЧ,2-0618ТВ
2-0618,МТЧ ТВ6000-ВЗ10000,Замена вращателя,ВЗ,2-0618ВЗ,"10000,00",МТЧ,2-0618ВЗ
2-0619,МТЧ ТО1440-ТР8640,Техническое обслуживание,ТО,2-0619ТО,"1440,00",МТЧ,2-0619ТО
2-0619,МТЧ ТО1440-ТР8640,Текущий ремонт,ТР,2-0619ТР,"8640,00",МТЧ,2-0619ТР
2-0620,МТЧ ТО720-ТР2880,Техническое обслуживание,ТО,2-0620ТО,"720,00",МТЧ,2-0620ТО
2-0620,МТЧ ТО720-ТР2880,Текущий ремонт,ТР,2-0620ТР,"2880,00",МТЧ,2-0620ТР
2-0621,МТЧ ТО360-Т12880-Т28640,Техническое обслуживание,ТО,2-0621ТО,"360,00",МТЧ,2-0621ТО
2-0621,МТЧ ТО360-Т12880-Т28640,Текущий ремонт 1,Т1,2-0621Т1,"2880,00",МТЧ,2-0621Т1
2-0621,МТЧ ТО360-Т12880-Т28640,Текущий ремонт 2,Т2,2-0621Т2,"8640,00",МТЧ,2-0621Т2
2-0622,МТЧ ТО360-ТР4320,Техническое обслуживание,ТО,2-0622ТО,"360,00",МТЧ,2-0622ТО
2-0622,МТЧ ТО360-ТР4320,Текущий ремонт,ТР,2-0622ТР,"4320,00",МТЧ,2-0622ТР
2-0623,МТЧ ТО240-Т12880-Т28640,Техническое обслуживание,ТО,2-0623ТО,"240,00",МТЧ,2-0623ТО
2-0623,МТЧ ТО240-Т12880-Т28640,Текущий ремонт 1,Т1,2-0623Т1,"2880,00",МТЧ,2-0623Т1
2-0623,МТЧ ТО240-Т12880-Т28640,Текущий ремонт 2,Т2,2-0623Т2,"8640,00",МТЧ,2-0623Т2
2-0624,МТЧ О1360-Т12160-Т24320,Техническое обслуживание 1,О1,2-0624О1,"360,00",МТЧ,2-0624О1
2-0624,МТЧ О1360-Т12160-Т24320,Текущий ремонт 1,Т1,2-0624Т1,"2160,00",МТЧ,2-0624Т1
2-0624,МТЧ О1360-Т12160-Т24320,Текущий ремонт 2,Т2,2-0624Т2,"4320,00",МТЧ,2-0624Т2
2-0625,МТЧ ТО360-Т12160-Т28640,Техническое обслуживание,ТО,2-0625ТО,"360,00",МТЧ,2-0625ТО
2-0625,МТЧ ТО360-Т12160-Т28640,Текущий ремонт 1,Т1,2-0625Т1,"2160,00",МТЧ,2-0625Т1
2-0625,МТЧ ТО360-Т12160-Т28640,Текущий ремонт 2,Т2,2-0625Т2,"8640,00",МТЧ,2-0625Т2
2-0626,МТЧ ТО720-Т15040-Т216560,Техническое обслуживание,ТО,2-0626ТО,"720,00",МТЧ,2-0626ТО
2-0626,МТЧ ТО720-Т15040-Т216560,Текущий ремонт 1,Т1,2-0626Т1,"5040,00",МТЧ,2-0626Т1
2-0626,МТЧ ТО720-Т15040-Т216560,Текущий ремонт 2,Т2,2-0626Т2,"16560,00",МТЧ,2-0626Т2
2-0627,МТЧ ТО720-Т12160-Т210800,Техническое обслуживание,ТО,2-0627ТО,"720,00",МТЧ,2-0627ТО
2-0627,МТЧ ТО720-Т12160-Т210800,Текущий ремонт 1,Т1,2-0627Т1,"2160,00",МТЧ,2-0627Т1
2-0627,МТЧ ТО720-Т12160-Т210800,Текущий ремонт 2,Т2,2-0627Т2,"10800,00",МТЧ,2-0627Т2
2-0628,МТЧ 720-2880-8640-17280,Техническое обслуживание,ТО,2-0628ТО,"720,00",МТЧ,2-0628ТО
2-0628,МТЧ 720-2880-8640-17280,Текущий ремонт 1,Т1,2-0628Т1,"2880,00",МТЧ,2-0628Т1
2-0628,МТЧ 720-2880-8640-17280,Текущий ремонт 2,Т2,2-0628Т2,"8640,00",МТЧ,2-0628Т2
2-0628,МТЧ 720-2880-8640-17280,Капитальный ремонт,КР,2-0628КР,"17280,00",МТЧ,2-0628КР
2-0629,МТЧ О1200-О2400-О3800,Техническое обслуживание 1,О1,2-0629О1,"200,00",МТЧ,2-0629О1
2-0629,МТЧ О1200-О2400-О3800,Техническое обслуживание 2,О2,2-0629О2,"400,00",МТЧ,2-0629О2
2-0629,МТЧ О1200-О2400-О3800,Техническое обслуживание 3,О3,2-0629О3,"800,00",МТЧ,2-0629О3
2-0630,МТЧ КВ2000,КР вращателя,КВ,2-0630КВ,"2000,00",МТЧ,2-0630КВ
2-0631,МТЧ 1018000,КР двигателя,10,2-063110,"18000,00",МТЧ,2-063110
2-0632,МТЧ 1010000,КР двигателя,10,2-063210,"10000,00",МТЧ,2-063210
2-0633,МТЧ КВ10000,КР вращателя,КВ,2-0633КВ,"10000,00",МТЧ,2-0633КВ
2-0634,МТЧ КВ4000,КР вращателя,КВ,2-0634КВ,"4000,00",МТЧ,2-0634КВ
2-0635,МТЧ 334000,КР футеровка,33,2-063533,"4000,00",МТЧ,2-063533
2-0636,МТЧ 10200000,КР двигателя,10,2-063610,"200000,00",МТЧ,2-063610
2-0637,МТЧ 1022000,КР двигателя,10,2-063710,"22000,00",МТЧ,2-063710
2-0638,МТЧ 1014000,КР двигателя,10,2-063810,"14000,00",МТЧ,2-063810
2-0639,МТЧ 2422000,КР коробки передач,24,2-063924,"22000,00",МТЧ,2-063924
2-0640,МТЧ 2432000,КР коробки передач,24,2-064024,"32000,00",МТЧ,2-064024
2-0641,МТЧ 248000,КР коробки передач,24,2-064124,"8000,00",МТЧ,2-064124
2-0642,МТЧ 2416000,КР коробки передач,24,2-064224,"16000,00",МТЧ,2-064224
2-0643,МТЧ 2733000,КР навесного оборудования,27,2-064327,"33000,00",МТЧ,2-064327
2-0644,МТЧ 2415000,КР коробки передач,24,2-064424,"15000,00",МТЧ,2-064424
2-0645,МТЧ 2732000,КР навесного оборудования,27,2-064527,"32000,00",МТЧ,2-064527
2-0646,МТЧ 3228000,КР трансмиссии,32,2-064632,"28000,00",МТЧ,2-064632
2-0647,МТЧ 2720000,КР навесного оборудования,27,2-064727,"20000,00",МТЧ,2-064727
2-0648,МТЧ 0322000,КР генератора,03,2-064803,"22000,00",МТЧ,2-064803
2-0649,МТЧ 3314000,КР футеровка,33,2-064933,"14000,00",МТЧ,2-064933
2-0650,МТЧ 2622000,КР мотор-колеса,26,2-065026,"22000,00",МТЧ,2-065026
2-0651,МТЧ 3316000,КР футеровка,33,2-065133,"16000,00",МТЧ,2-065133
2-0652,МТЧ 337000,КР футеровка,33,2-065233,"7000,00",МТЧ,2-065233
2-0653,МТЧ 80-320-720-4800,Техническое обслуживание 1,О1,2-0653О1,"80,00",МТЧ,2-0653О1
2-0653,МТЧ 80-320-720-4800,Техническое обслуживание 2,О2,2-0653О2,"320,00",МТЧ,2-0653О2
2-0653,МТЧ 80-320-720-4800,Текущий ремонт,ТР,2-0653ТР,"720,00",МТЧ,2-0653ТР
2-0653,МТЧ 80-320-720-4800,Капитальный ремонт,КР,2-0653КР,"4800,00",МТЧ,2-0653КР
2-0654,МТЧ 1440-4380-8760-69120,Текущий ремонт 1,Т1,2-0654Т1,"1440,00",МТЧ,2-0654Т1
2-0654,МТЧ 1440-4380-8760-69120,Текущий ремонт 2,Т2,2-0654Т2,"4380,00",МТЧ,2-0654Т2
2-0654,МТЧ 1440-4380-8760-69120,Текущий ремонт 3,Т3,2-0654Т3,"8760,00",МТЧ,2-0654Т3
2-0654,МТЧ 1440-4380-8760-69120,Капитальный ремонт,КР,2-0654КР,"69120,00",МТЧ,2-0654КР
2-0655,МТЧ 3312000-ЗУ12000,КР футеровка,33,2-065533,"12000,00",МТЧ,2-065533
2-0655,МТЧ 3312000-ЗУ12000,Замена футеровка,ЗУ,2-0655ЗУ,"12000,00",МТЧ,2-0655ЗУ
2-0656,МТЧ 2418000-ЗК18000,КР коробки передач,24,2-065624,"18000,00",МТЧ,2-065624
2-0656,МТЧ 2418000-ЗК18000,Замена коробки передач,ЗК,2-0656ЗК,"18000,00",МТЧ,2-0656ЗК
2-0657,КМ 38400000-47800000,КР1 двигателя,38,2-065738,"400000,00",КМ,2-065738
2-0657,КМ 38400000-47800000,КР2 двигателя,47,2-065747,"800000,00",КМ,2-065747
2-0658,МТЧ О1360-О2720-ТР1440-КР8640,Техническое обслуживание 1,О1,2-0658О1,"360,00",МТЧ,2-0658О1
2-0658,МТЧ О1360-О2720-ТР1440-КР8640,Техническое обслуживание 2,О2,2-0658О2,"720,00",МТЧ,2-0658О2
2-0658,МТЧ О1360-О2720-ТР1440-КР8640,Текущий ремонт,ТР,2-0658ТР,"1440,00",МТЧ,2-0658ТР
2-0658,МТЧ О1360-О2720-ТР1440-КР8640,Капитальный ремонт,КР,2-0658КР,"8640,00",МТЧ,2-0658КР
2-0659,МТЧ О1360-О2720-ТР2880-КР8640,Техническое обслуживание 1,О1,2-0659О1,"360,00",МТЧ,2-0659О1
2-0659,МТЧ О1360-О2720-ТР2880-КР8640,Техническое обслуживание 2,О2,2-0659О2,"720,00",МТЧ,2-0659О2
2-0659,МТЧ О1360-О2720-ТР2880-КР8640,Текущий ремонт,ТР,2-0659ТР,"2880,00",МТЧ,2-0659ТР
2-0659,МТЧ О1360-О2720-ТР2880-КР8640,Капитальный ремонт,КР,2-0659КР,"8640,00",МТЧ,2-0659КР
2-0660,МТЧ О1360-О2720-ТР5760-КР43200,Техническое обслуживание 1,О1,2-0660О1,"360,00",МТЧ,2-0660О1
2-0660,МТЧ О1360-О2720-ТР5760-КР43200,Техническое обслуживание 2,О2,2-0660О2,"720,00",МТЧ,2-0660О2
2-0660,МТЧ О1360-О2720-ТР5760-КР43200,Текущий ремонт,ТР,2-0660ТР,"5760,00",МТЧ,2-0660ТР
2-0660,МТЧ О1360-О2720-ТР5760-КР43200,Капитальный ремонт,КР,2-0660КР,"43200,00",МТЧ,2-0660КР
2-0661,МТЧ ТО240-Т12160-Т28640,Техническое обслуживание,ТО,2-0661ТО,"240,00",МТЧ,2-0661ТО
2-0661,МТЧ ТО240-Т12160-Т28640,Текущий ремонт 1,Т1,2-0661Т1,"2160,00",МТЧ,2-0661Т1
2-0661,МТЧ ТО240-Т12160-Т28640,Текущий ремонт 2,Т2,2-0661Т2,"8640,00",МТЧ,2-0661Т2
2-0662,МТЧ ТО720-Т12160-8640-КР17280,Техническое обслуживание,ТО,2-0662ТО,"720,00",МТЧ,2-0662ТО
2-0662,МТЧ ТО720-Т12160-8640-КР17280,Текущий ремонт 1,Т1,2-0662Т1,"2160,00",МТЧ,2-0662Т1
2-0662,МТЧ ТО720-Т12160-8640-КР17280,Текущий ремонт 2,Т2,2-0662Т2,"8640,00",МТЧ,2-0662Т2
2-0662,МТЧ ТО720-Т12160-8640-КР17280,Капитальный ремонт,КР,2-0662КР,"17280,00",МТЧ,2-0662КР
2-0663,КМ ТО1-1000-ТО2-3000,Техническое обслуживание 1,1,2-06631,"1000,00",КМ,2-06631
2-0663,КМ ТО1-1000-ТО2-3000,Техническое обслуживание 2,2,2-06632,"3000,00",КМ,2-06632
2-0664,МТЧ ТР1250,ТР но,ТР,2-0664ТР,"1250,00",МТЧ,2-0664ТР
2-0665,МТЧ ТР4000,ТР,ТР,2-0665ТР,"4000,00",МТЧ,2-0665ТР
2-0666,МТЧ О1720-Т14320-К143200,Техническое обслуживание 1,О1,2-0666О1,"720,00",МТЧ,2-0666О1
2-0666,МТЧ О1720-Т14320-К143200,Текущий ремонт,Т1,2-0666Т1,"4320,00",МТЧ,2-0666Т1
2-0666,МТЧ О1720-Т14320-К143200,Капитальный ремонт,К1,2-0666К1,"43200,00",МТЧ,2-0666К1
2-0667,МТЧ О1500-Т14000-К112000,Техническое обслуживание 1,О1,2-0667О1,"500,00",МТЧ,2-0667О1
2-0667,МТЧ О1500-Т14000-К112000,Текущий ремонт,Т1,2-0667Т1,"4000,00",МТЧ,2-0667Т1
2-0667,МТЧ О1500-Т14000-К112000,Капитальный ремонт,К1,2-0667К1,"12000,00",МТЧ,2-0667К1
2-0668,МТЧ О1180-О2620-Т14320-К169120,Техническое обслуживание 1,О1,2-0668О1,"180,00",МТЧ,2-0668О1
2-0668,МТЧ О1180-О2620-Т14320-К169120,Техническое обслуживание 2,О2,2-0668О2,"720,00",МТЧ,2-0668О2
2-0668,МТЧ О1180-О2620-Т14320-К169120,Текущий ремонт,Т1,2-0668Т1,"4320,00",МТЧ,2-0668Т1
2-0668,МТЧ О1180-О2620-Т14320-К169120,Капитальный ремонт,К1,2-0668К1,"69120,00",МТЧ,2-0668К1
2-0669,МТЧ О1250-О2500-О3-О4-С1-К1,Техническое обслуживание 1,О1,2-0669О1,"250,00",МТЧ,2-0669О1
2-0669,МТЧ О1250-О2500-О3-О4-С1-К1,Техническое обслуживание 2,О2,2-0669О2,"500,00",МТЧ,2-0669О2
2-0669,МТЧ О1250-О2500-О3-О4-С1-К1,Техническое обслуживание 3,О3,2-0669О3,"1000,00",МТЧ,2-0669О3
2-0669,МТЧ О1250-О2500-О3-О4-С1-К1,Техническое обслуживание 4,О4,2-0669О4,"2000,00",МТЧ,2-0669О4
2-0669,МТЧ О1250-О2500-О3-О4-С1-К1,Средний ремонт,С1,2-0669С1,"34560,00",МТЧ,2-0669С1
2-0669,МТЧ О1250-О2500-О3-О4-С1-К1,Капитальный ремонт,К1,2-0669К1,"69120,00",МТЧ,2-0669К1
2-0670,МТЧ 01500-Т12000-К116000,Техническое обслуживание 1,О1,2-0670О1,"500,00",МТЧ,2-0670О1
2-0670,МТЧ 01500-Т12000-К116000,Текущий ремонт,Т1,2-0670Т1,"2000,00",МТЧ,2-0670Т1
2-0670,МТЧ 01500-Т12000-К116000,Капитальный ремонт,К1,2-0670К1,"16000,00",МТЧ,2-0670К1
2-0671,МТЧ 1500 20000/16000,ТР1 двс,70,2-067170,"20000,00",МТЧ,2-067170
2-0671,МТЧ 1500 20000/16000,ТР2 двс,90,2-067190,"36000,00",МТЧ,2-067190
2-0672,МТЧ О1250-О2500-О31000-О4-О5,Техническое обслуживание 1,О1,2-0672О1,"250,00",МТЧ,2-0672О1
2-0672,МТЧ О1250-О2500-О31000-О4-О5,Техническое обслуживание 2,О2,2-0672О2,"500,00",МТЧ,2-0672О2
2-0672,МТЧ О1250-О2500-О31000-О4-О5,Техническое обслуживание 3,О3,2-0672О3,"1000,00",МТЧ,2-0672О3
2-0672,МТЧ О1250-О2500-О31000-О4-О5,Техническое обслуживание 4,О4,2-0672О4,"2000,00",МТЧ,2-0672О4
2-0672,МТЧ О1250-О2500-О31000-О4-О5,Техническое обслуживание 5,О5,2-0672О5,"4000,00",МТЧ,2-0672О5
2-0673,МТЧ О1360-О2720-ТР6480-КР38880,Техническое обслуживание 1,О1,2-0673О1,"360,00",МТЧ,2-0673О1
2-0673,МТЧ О1360-О2720-ТР6480-КР38880,Техническое обслуживание 2,О2,2-0673О2,"720,00",МТЧ,2-0673О2
2-0673,МТЧ О1360-О2720-ТР6480-КР38880,Текущий ремонт,ТР,2-0673ТР,"6480,00",МТЧ,2-0673ТР
2-0673,МТЧ О1360-О2720-ТР6480-КР38880,Капитальный ремонт,КР,2-0673КР,"38880,00",МТЧ,2-0673КР
2-0674,МТЧ О1360-О2720-ТР2880-КР8640,Техническое обслуживание 1,О1,2-0674О1,"360,00",МТЧ,2-0674О1
2-0674,МТЧ О1360-О2720-ТР2880-КР8640,Техническое обслуживание 2,О2,2-0674О2,"720,00",МТЧ,2-0674О2
2-0674,МТЧ О1360-О2720-ТР2880-КР8640,Текущий ремонт,ТР,2-0674ТР,"2880,00",МТЧ,2-0674ТР
2-0674,МТЧ О1360-О2720-ТР2880-КР8640,Капитальный ремонт,КР,2-0674КР,"8640,00",МТЧ,2-0674КР
2-0675,МТЧ О1360-О2720-Т16480-Т2-КР,Техническое обслуживание 1,О1,2-0675О1,"360,00",МТЧ,2-0675О1
2-0675,МТЧ О1360-О2720-Т16480-Т2-КР,Техническое обслуживание 2,О2,2-0675О2,"720,00",МТЧ,2-0675О2
2-0675,МТЧ О1360-О2720-Т16480-Т2-КР,Текущий ремонт 1,Т1,2-0675Т1,"6480,00",МТЧ,2-0675Т1
2-0675,МТЧ О1360-О2720-Т16480-Т2-КР,Текущий ремонт 2,Т2,2-0675Т2,"12960,00",МТЧ,2-0675Т2
2-0675,МТЧ О1360-О2720-Т16480-Т2-КР,Капитальный ремонт,КР,2-0675КР,"51840,00",МТЧ,2-0675КР
2-0676,МТЧ О1360-О2720-Т15760-Т2-КР,Техническое обслуживание 1,О1,2-0676О1,"360,00",МТЧ,2-0676О1
2-0676,МТЧ О1360-О2720-Т15760-Т2-КР,Техническое обслуживание 2,О2,,"720,00",МТЧ,2-0676О2
2-0676,МТЧ О1360-О2720-Т15760-Т2-КР,Текущий ремонт 1,Т1,,"5760,00",МТЧ,2-0676Т1
2-0676,МТЧ О1360-О2720-Т15760-Т2-КР,Текущий ремонт 2,Т2,,"11520,00",МТЧ,2-0676Т2
2-0676,МТЧ О1360-О2720-Т15760-Т2-КР,Капитальный ремонт,КР,,"46080,00",МТЧ,2-0676КР
2-0677,МТЧ О1360-О2720-ТР11520-К46080,Техническое обслуживание 1,О1,,"360,00",МТЧ,2-0677О1
2-0677,МТЧ О1360-О2720-ТР11520-К46080,Техническое обслуживание 2,О2,,"720,00",МТЧ,2-0677О2
2-0677,МТЧ О1360-О2720-ТР11520-К46080,Текущий ремонт,ТР,,"11520,00",МТЧ,2-0677ТР
2-0677,МТЧ О1360-О2720-ТР11520-К46080,Капитальный ремонт,КР,,"46080,00",МТЧ,2-0677КР
2-0678,МТЧ О1360-О2720-ТР5760-КР46080,Техническое обслуживание 1,О1,,"360,00",МТЧ,2-0678О1
